// yafu will interpolate between entries in the table.
// inputs above or below the table limit will use the
// last or first entry in the table.
// These values were provided by Gimarel
// see: https://www.mersenneforum.org/node/1069536?p=1071174#post1071174 
// There needs to be 12 entries per line, as follows:
// base-10 digits, rlim, alim, lpbr, lpba, mfbr, mfba, rlambda, alambda, siever, startq, qrange, minrels
   109,  700000, 2000000,  29,   29,   58,   58,   2.500,   2.500,     12,   500000,  5000,  10400000  
   110,  700000, 2000000,  29,   29,   58,   58,   2.500,   2.500,     12,   500000,  5000,  10800000  
   111,  700000, 2000000,  29,   29,   58,   58,   2.500,   2.500,     12,   500000,  5000,  11200000  
   112,  740000, 2240000,  29,   29,   58,   58,   2.500,   2.500,     12,   560000,  5000,  12000000  
   113,  780000, 2480000,  29,   29,   58,   58,   2.500,   2.500,     12,   620000,  5000,  12800000  
   114,  820000, 2720000,  29,   29,   58,   58,   2.500,   2.500,     12,   680000,  5000,  13600000  
   115,  860000, 2960000,  29,   29,   58,   58,   2.500,   2.500,     12,   740000,  5000,  14400000  
   116,  900000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  15200000  
   117, 1000000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  16200000  
   118, 1100000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  17200000  
   119, 1200000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  18200000  
   120, 1300000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  19200000  
   121, 1400000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  20200000  
   122, 1500000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  21200000  
   123, 1600000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  22200000  
   124, 1700000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  23200000  
   125, 1800000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  24200000  
   126, 1900000, 3200000,  29,   29,   58,   58,   2.500,   2.500,     12,   800000,  5000,  25200000  
   127, 2350000, 7680000,  29,   29,   58,   58,   2.500,   2.500,     13,  1920000,  5000,  24600000  
   128, 2500000, 7200000,  30,   30,   60,   60,   2.500,   2.500,     13,  1800000,  5000,  32000000  
   129, 2670000, 7880000,  30,   30,   60,   60,   2.500,   2.500,     13,  1970000,  5000,  34000000  
   130, 2840000, 8560000,  30,   30,   60,   60,   2.500,   2.500,     13,  2140000,  5000,  36000000  
   131, 2800000, 8000000,  30,   30,   60,   60,   2.533,   2.533,     13,  2000000,  5000,  40000000  
   132, 3080000, 8560000,  30,   30,   60,   60,   2.533,   2.533,     13,  2140000,  5000,  42000000  
   133, 3360000, 9120000,  30,   30,   60,   60,   2.533,   2.533,     13,  2280000,  5000,  44000000  
   134, 3640000, 9680000,  30,   30,   60,   60,   2.533,   2.533,     13,  2420000,  5000,  46000000  
   135, 3920000, 10240000, 30,   30,   60,   60,   2.533,   2.533,     13,  2560000,  5000,  48000000  
   136, 4200000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  50000000  
   137, 4460000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  52000000  
   138, 4720000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  54000000  
   139, 4980000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  56000000  
   140, 5240000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  58000000  
   141, 5500000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  60000000  
   142, 5760000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  62000000  
   143, 6020000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  64000000  
   144, 6280000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  66000000  
   145, 6540000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  68000000  
   146, 6800000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  70000000  
   147, 7060000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  72000000  
   148, 7320000, 10800000, 30,   30,   60,   60,   2.533,   2.533,     13,  2700000,  5000,  74000000  
